number	title	labels	assignees	url
35	🏔️ [EPIC] Mobile MVP Foundation - Core User Experience	impact-critical,frontend-mobile,effort-epic,epic	BartekKrz	https://github.com/BartekKrz/make-the-change/issues/35
34	📊 [MVP-P1] Implémenter métriques analytics temps réel	backend-api,database,analytics,P1		https://github.com/BartekKrz/make-the-change/issues/34
33	🎨 [MVP-P1] Implémenter composants loading states avancés	frontend-mobile,frontend-web,design-ux		https://github.com/BartekKrz/make-the-change/issues/33
32	⭐ [ECOMMERCE-V1-P2] Développer système d'avis et preuve sociale	frontend-web,database,social-proof		https://github.com/BartekKrz/make-the-change/issues/32
31	🤝 [ECOMMERCE-V1-P2] Implémenter système parrainage et acquisition	frontend-web,database,growth		https://github.com/BartekKrz/make-the-change/issues/31
30	🎁 [ECOMMERCE-V1-P2] Développer système de fidélité et programme récompenses	frontend-web,database,loyalty		https://github.com/BartekKrz/make-the-change/issues/30
29	👤 [ECOMMERCE-MVP-P1] Développer espace utilisateur web complet	frontend-web,database		https://github.com/BartekKrz/make-the-change/issues/29
28	🛒 [ECOMMERCE-MVP-P1] Développer système e-commerce complet (panier + checkout)	frontend-web,backend-api,database,ecommerce,payments,P1		https://github.com/BartekKrz/make-the-change/issues/28
27	🌱 [ECOMMERCE-MVP-P0] Implémenter découverte projets et investissements web (nouveaux partenaires)	impact-critical,frontend-web,backend-api,database,effort-complex,P0	BartekKrz	https://github.com/BartekKrz/make-the-change/issues/27
26	🛒 [ECOMMERCE-MVP-P0] Développer catalogue produits et découverte web (grille tarifaire définitive)	impact-high,frontend-web,backend-api,database,effort-complex,P0	BartekKrz	https://github.com/BartekKrz/make-the-change/issues/26
25	🌐 [ECOMMERCE-MVP-P0] Créer infrastructure site web et pages publiques	impact-critical,frontend-web,backend-api,database,devops,effort-complex,P0	BartekKrz	https://github.com/BartekKrz/make-the-change/issues/25
24	🔗 [ADMIN-V1-P2] Développer intégrations partenaires avancées	frontend-web,integrations		https://github.com/BartekKrz/make-the-change/issues/24
23	⚡ [ADMIN-V1-P2] Implémenter système d'automatisation et workflows	frontend-web,automation		https://github.com/BartekKrz/make-the-change/issues/23
22	📊 [ADMIN-V1-P2] Développer analytics avancés et business intelligence	frontend-web,database,analytics		https://github.com/BartekKrz/make-the-change/issues/22
21	📦 [ADMIN-MVP-P1] Développer système de gestion des commandes	frontend-web,backend-api,database,ecommerce,P1		https://github.com/BartekKrz/make-the-change/issues/21
20	👥 [ADMIN-MVP-P1] Implémenter gestion utilisateurs et système points	frontend-web,backend-api,database,analytics,security		https://github.com/BartekKrz/make-the-change/issues/20
19	🛒 [ADMIN-MVP-P1] Développer système e-commerce hybride complet	frontend-web,backend-api,database,ecommerce,P1		https://github.com/BartekKrz/make-the-change/issues/19
18	🤝 [ADMIN-MVP-P0] Implémenter gestion complète des partenaires	impact-high,frontend-web,backend-api,database,effort-complex	BartekKrz	https://github.com/BartekKrz/make-the-change/issues/18
17	🏗️ [ADMIN-MVP-P0] Développer CRUD complet pour la gestion des projets	impact-critical,frontend-web,backend-api,database,effort-epic,P0	BartekKrz	https://github.com/BartekKrz/make-the-change/issues/17
16	🔐 [ADMIN-MVP-P0] Implémenter authentification admin sécurisée	impact-critical,frontend-web,backend-api,database,effort-complex,security,P0	BartekKrz	https://github.com/BartekKrz/make-the-change/issues/16
15	✨ [ENHANCEMENT-P3] Implémenter micro-interactions et UX patterns 2025	design-ux		https://github.com/BartekKrz/make-the-change/issues/15
14	🔍 [MVP-P0] Implémenter système de découverte de projets	impact-critical,frontend-mobile,design-ux,effort-complex	BartekKrz	https://github.com/BartekKrz/make-the-change/issues/14
13	💳 [MVP-P0] Développer tunnel de paiement Stripe complet (dual billing support)	impact-critical,frontend-mobile,backend-api,effort-epic,payments,security,P0	BartekKrz	https://github.com/BartekKrz/make-the-change/issues/13
12	🎮 [V1-P2] Implémenter système de badges et gamification	frontend-mobile,gamification		https://github.com/BartekKrz/make-the-change/issues/12
11	🛒 [MVP-P1] Développer catalogue et système d'échange de points	frontend-mobile,backend-api		https://github.com/BartekKrz/make-the-change/issues/11
10	🏠 [MVP-P0] Créer dashboard adaptatif par niveau utilisateur	impact-critical,frontend-mobile,effort-complex	BartekKrz	https://github.com/BartekKrz/make-the-change/issues/10
9	🔐 [MVP-P0] Implémenter système d'authentification complet	impact-critical,frontend-mobile,backend-api,effort-complex,security,P0	BartekKrz	https://github.com/BartekKrz/make-the-change/issues/9
